month,is_inserted,aoi_px,observed_px,observed_frac_of_aoi,p_native_wet_frac,p_resolved_wet_frac
2014-10,False,499979,489262,0.9785650997341888,0.0009933328155466805,0.00097204082571468
2014-11,False,499979,489250,0.9785410987261465,0.00046193152784874806,0.0004520189847973615
2014-12,False,499979,484270,0.9685806803885764,0.004214591033927354,0.004082171451200951
2015-01,False,499979,36649,0.07330107864530311,0.007694616497039483,0.0005640236889949378
2015-02,False,499979,489204,0.9784490948619842,0.017107382605211732,0.01673870302552707
2015-03,False,499979,486840,0.9737208962776437,0.012928272122257826,0.012588528718206165
2015-04,False,499979,489257,0.9785550993141712,0.009432670355252965,0.009230387676282405
2015-05,False,499979,489235,0.9785110974660935,0.00809222561754576,0.00791833256996794
2015-06,False,499979,489215,0.978471095786023,0.0071154809235203335,0.006962292416281484
2015-07,False,499979,489219,0.9784790961220371,0.006154707809794795,0.006022252934623254
2015-08,False,499979,489248,0.9785370985581394,0.0055759042448819416,0.005456229161624788
2015-09,False,499979,489246,0.9785330983901324,0.00476651827505999,0.004664195896227642
2015-10,False,499979,489243,0.9785270981381218,0.003660757537665332,0.0035821504503189133
2015-11,False,499979,489243,0.9785270981381218,0.0011160098356031666,0.0010920458659263688
2015-12,False,499979,413582,0.8271987423471786,0.0007060268580354077,0.0005840245290302193
2016-01,False,499979,485562,0.9711647889211347,0.006260786470110923,0.006080255370725571
2016-02,False,499979,489247,0.9785350984741359,0.010373083534492802,0.010150426317905352
2016-03,False,499979,489236,0.9785130975500971,0.007450392039833537,0.0072903061928601
2016-04,False,499979,489254,0.9785490990621606,0.005105732400757071,0.0049962098408133145
2016-05,False,499979,489238,0.9785170977181041,0.007127410381041538,0.006974292920302653
2016-06,False,499979,489191,0.9784230937699383,0.0044011439294672225,0.004306180859596103
2016-07,False,499979,489210,0.9784610953660053,0.002522434128492876,0.002468103660353735
2016-08,False,499979,489233,0.9785070972980865,0.0015227917985908555,0.0014900625826284703
2016-09,False,499979,489249,0.978539098642143,0.0008605025252989787,0.0008420353654853504
2016-10,False,499979,489253,0.9785470989781571,0.0005845646322046058,0.0005720240250090504
